"Target","Class","Type","Package","InstalledVersion","Advisory","Severity","FixedVersion","VendorStatus","AffectsCandidate","Disposition","Rationale"
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libuuid1","2.38.1-5+deb12u3","CVE-2026-53615","HIGH",,"affected","YES","NEEDS REVIEW","Critical or High finding is present in the shipped image and requires owner review; no automatic remediation was authorized."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","mount","2.38.1-5+deb12u3","CVE-2026-53615","HIGH",,"affected","YES","NEEDS REVIEW","Critical or High finding is present in the shipped image and requires owner review; no automatic remediation was authorized."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","util-linux","2.38.1-5+deb12u3","CVE-2026-53615","HIGH",,"affected","YES","NEEDS REVIEW","Critical or High finding is present in the shipped image and requires owner review; no automatic remediation was authorized."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","util-linux-extra","2.38.1-5+deb12u3","CVE-2026-53615","HIGH",,"affected","YES","NEEDS REVIEW","Critical or High finding is present in the shipped image and requires owner review; no automatic remediation was authorized."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libacl1","2.3.1-3","CVE-2026-54369","HIGH",,"fix_deferred","YES","NEEDS REVIEW","Critical or High finding is present in the shipped image and requires owner review; no automatic remediation was authorized."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","perl-base","5.36.0-7+deb12u3","CVE-2026-57432","HIGH",,"affected","YES","NEEDS REVIEW","Critical or High finding is present in the shipped image and requires owner review; no automatic remediation was authorized."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","perl-base","5.36.0-7+deb12u3","CVE-2026-9538","HIGH",,"fix_deferred","YES","NEEDS REVIEW","Critical or High finding is present in the shipped image and requires owner review; no automatic remediation was authorized."
"Python","lang-pkgs","python-pkg","msgpack","1.1.2","GHSA-6v7p-g79w-8964","HIGH","1.2.1","fixed","YES","NEEDS REVIEW","Vendored msgpack is present only beneath pip, not importable as a top-level application module; the service does not invoke pip, but the High finding remains for owner review."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libncursesw6","6.4-4","CVE-2023-50495","MEDIUM",,"affected","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libtinfo6","6.4-4","CVE-2023-50495","MEDIUM",,"affected","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","ncurses-base","6.4-4","CVE-2023-50495","MEDIUM",,"affected","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","ncurses-bin","6.4-4","CVE-2023-50495","MEDIUM",,"affected","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libpam-modules","1.5.2-6+deb12u2","CVE-2024-10041","MEDIUM",,"will_not_fix","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libpam-modules-bin","1.5.2-6+deb12u2","CVE-2024-10041","MEDIUM",,"will_not_fix","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libpam-runtime","1.5.2-6+deb12u2","CVE-2024-10041","MEDIUM",,"will_not_fix","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libpam0g","1.5.2-6+deb12u2","CVE-2024-10041","MEDIUM",,"will_not_fix","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","perl-base","5.36.0-7+deb12u3","CVE-2025-15649","MEDIUM",,"affected","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","gpgv","2.2.40-1.1+deb12u2","CVE-2025-30258","MEDIUM",,"affected","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","gpgv","2.2.40-1.1+deb12u2","CVE-2025-68972","MEDIUM",,"affected","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libsqlite3-0","3.40.1-2+deb12u2","CVE-2025-7709","MEDIUM",,"affected","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"Python","lang-pkgs","python-pkg","pip","25.0.1","CVE-2025-8869","MEDIUM","25.3","fixed","YES","ACCEPT","Base-layer pip is present outside the active /opt/venv environment; the service does not invoke it. Medium/Low tooling-path residual risk is retained."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libsqlite3-0","3.40.1-2+deb12u2","CVE-2026-11822","MEDIUM",,"fix_deferred","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libsqlite3-0","3.40.1-2+deb12u2","CVE-2026-11824","MEDIUM",,"fix_deferred","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","perl-base","5.36.0-7+deb12u3","CVE-2026-12087","MEDIUM",,"affected","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","bsdutils","1:2.38.1-5+deb12u3","CVE-2026-13595","MEDIUM",,"affected","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libblkid1","2.38.1-5+deb12u3","CVE-2026-13595","MEDIUM",,"affected","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libmount1","2.38.1-5+deb12u3","CVE-2026-13595","MEDIUM",,"affected","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libsmartcols1","2.38.1-5+deb12u3","CVE-2026-13595","MEDIUM",,"affected","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libuuid1","2.38.1-5+deb12u3","CVE-2026-13595","MEDIUM",,"affected","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","mount","2.38.1-5+deb12u3","CVE-2026-13595","MEDIUM",,"affected","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","util-linux","2.38.1-5+deb12u3","CVE-2026-13595","MEDIUM",,"affected","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","util-linux-extra","2.38.1-5+deb12u3","CVE-2026-13595","MEDIUM",,"affected","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libp11-kit0","0.24.1-2","CVE-2026-13757","MEDIUM",,"fix_deferred","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libsystemd0","252.39-1~deb12u2","CVE-2026-15059","MEDIUM",,"affected","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libudev1","252.39-1~deb12u2","CVE-2026-15059","MEDIUM",,"affected","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libsystemd0","252.39-1~deb12u2","CVE-2026-16742","MEDIUM",,"affected","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libudev1","252.39-1~deb12u2","CVE-2026-16742","MEDIUM",,"affected","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","tar","1.34+dfsg-1.2+deb12u1","CVE-2026-18477","MEDIUM",,"affected","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","tar","1.34+dfsg-1.2+deb12u1","CVE-2026-18508","MEDIUM",,"affected","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libp11-kit0","0.24.1-2","CVE-2026-18938","MEDIUM",,"affected","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","zlib1g","1:1.2.13.dfsg-1","CVE-2026-27171","MEDIUM",,"affected","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","bsdutils","1:2.38.1-5+deb12u3","CVE-2026-27456","MEDIUM",,"affected","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libblkid1","2.38.1-5+deb12u3","CVE-2026-27456","MEDIUM",,"affected","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libmount1","2.38.1-5+deb12u3","CVE-2026-27456","MEDIUM",,"affected","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libsmartcols1","2.38.1-5+deb12u3","CVE-2026-27456","MEDIUM",,"affected","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libuuid1","2.38.1-5+deb12u3","CVE-2026-27456","MEDIUM",,"affected","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","mount","2.38.1-5+deb12u3","CVE-2026-27456","MEDIUM",,"affected","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","util-linux","2.38.1-5+deb12u3","CVE-2026-27456","MEDIUM",,"affected","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","util-linux-extra","2.38.1-5+deb12u3","CVE-2026-27456","MEDIUM",,"affected","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","bsdutils","1:2.38.1-5+deb12u3","CVE-2026-3184","MEDIUM",,"will_not_fix","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libblkid1","2.38.1-5+deb12u3","CVE-2026-3184","MEDIUM",,"will_not_fix","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libmount1","2.38.1-5+deb12u3","CVE-2026-3184","MEDIUM",,"will_not_fix","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libsmartcols1","2.38.1-5+deb12u3","CVE-2026-3184","MEDIUM",,"will_not_fix","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libuuid1","2.38.1-5+deb12u3","CVE-2026-3184","MEDIUM",,"will_not_fix","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","mount","2.38.1-5+deb12u3","CVE-2026-3184","MEDIUM",,"will_not_fix","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","util-linux","2.38.1-5+deb12u3","CVE-2026-3184","MEDIUM",,"will_not_fix","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","util-linux-extra","2.38.1-5+deb12u3","CVE-2026-3184","MEDIUM",,"will_not_fix","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"Python","lang-pkgs","python-pkg","pip","25.0.1","CVE-2026-3219","MEDIUM","26.1","fixed","YES","ACCEPT","Base-layer pip is present outside the active /opt/venv environment; the service does not invoke it. Medium/Low tooling-path residual risk is retained."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","gzip","1.12-1","CVE-2026-41991","MEDIUM",,"fix_deferred","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libbz2-1.0","1.0.8-5+b1","CVE-2026-42250","MEDIUM",,"affected","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","perl-base","5.36.0-7+deb12u3","CVE-2026-48959","MEDIUM",,"affected","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","perl-base","5.36.0-7+deb12u3","CVE-2026-48961","MEDIUM",,"affected","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libsqlite3-0","3.40.1-2+deb12u2","CVE-2026-50812","MEDIUM",,"fix_deferred","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libsqlite3-0","3.40.1-2+deb12u2","CVE-2026-50813","MEDIUM",,"fix_deferred","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libc-bin","2.36-9+deb12u14","CVE-2026-5435","MEDIUM",,"affected","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libc6","2.36-9+deb12u14","CVE-2026-5435","MEDIUM",,"affected","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libacl1","2.3.1-3","CVE-2026-54370","MEDIUM",,"fix_deferred","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
"sha256:b05d7725d17df2da7b94f8b73afc0aa9d6bcc384a227b48a1d031640104c3b0f (debian 12.15)","os-pkgs","debian","libattr1","1:2.5.1-4","CVE-2026-54371","MEDIUM",,"fix_deferred","YES","ACCEPT","Medium, Low, or Unknown severity residual finding retained for transparency; no release-gate escalation under the review policy."
